uby	nband	Exp_Year	cap_date	mass	bhead	fwing	fate	fate_num
2_79_2020	281174583	2020	18-Jun-20	18.8	25	40	Fledged	1
2_79_2020	281174584	2020	18-Jun-20	20.5	25.6	50	Fledged	1
2_25_2020	281174587	2020	19-Jun-20	16.5	23.9	35	Died	0
2_25_2020	281174588	2020	19-Jun-20	14.8	23.8	33	Died	0
2_25_2020	281174589	2020	19-Jun-20	14.3	24.2	36	Died	0
2_25_2020	281174590	2020	19-Jun-20	15.7	23.5	34	Died	0
2_51_2020	281174591	2020	19-Jun-20	20.6	26.7	53	Fledged	1
2_51_2020	281174592	2020	19-Jun-20	16.5	23.9	36	Fledged	1
2_51_2020	281174593	2020	19-Jun-20	21.5	24.9	47	Fledged	1
2_51_2020	281174594	2020	19-Jun-20	20.4	26.2	57	Fledged	1
2_51_2020	281174595	2020	19-Jun-20	19.4	26.7	56	Fledged	1
2_39_2020	281174596	2020	19-Jun-20	25.1	25.7	53	Fledged	1
2_39_2020	281174597	2020	19-Jun-20	23.8	26.2	61	Fledged	1
2_39_2020	281174598	2020	19-Jun-20	24.8	26.2	65	Fledged	1
2_37_2020	281174599	2020	19-Jun-20	23.9	26.8	56	Fledged	1
2_37_2020	281174600	2020	19-Jun-20	23.8	26.9	64	Fledged	1
2_102_2020	281174704	2020	25-Jun-20	21.4	26.5	63	Fledged	1
2_102_2020	281174705	2020	25-Jun-20	23.1	28.1	59	Fledged	1
2_102_2020	281174706	2020	25-Jun-20	23.3	23.3	60	Fledged	1
2_102_2020	281174707	2020	25-Jun-20	21	25.5	61	Fledged	1
2_21_2020	281174708	2020	25-Jun-20	21.4	24.7	55	Fledged	1
2_21_2020	281174709	2020	25-Jun-20	20.6	25.2	47	Fledged	1
2_21_2020	281174710	2020	25-Jun-20	14.6	22.8	31	Fledged	1
2_21_2020	281174711	2020	25-Jun-20	22.5	26.7	52	Fledged	1
4_13_2020	281174909	2020	16-Jun-20	22.1	25.5	53	Fledged	1
4_13_2020	281174910	2020	16-Jun-20	21.7	25.8	51	Fledged	1
4_13_2020	281174911	2020	16-Jun-20	18.9	24.8	46	Fledged	1
4_13_2020	281174912	2020	16-Jun-20	21	25	48	Fledged	1
4_13_2020	281174913	2020	16-Jun-20	20	25.3	54	Fledged	1
4_3_2020	281174914	2020	16-Jun-20	22	25	51	Fledged	1
4_3_2020	281174915	2020	16-Jun-20	19.3	25	47	Fledged	1
4_3_2020	281174916	2020	16-Jun-20	23.7	25.7	50	Fledged	1
4_3_2020	281174917	2020	16-Jun-20	23.2	25.8	51	Fledged	1
4_3_2020	281174918	2020	16-Jun-20	19.5	24.9	44	Fledged	1
TH_48_2020	281174925	2020	17-Jun-20	21.9	24.7	40	Fledged	1
TH_48_2020	281174926	2020	17-Jun-20	13.5	24.3	41	Fledged	1
TH_48_2020	281174927	2020	17-Jun-20	19.6	25.5	46	Fledged	1
TH_48_2020	281174928	2020	17-Jun-20	22.6	26.1	50	Fledged	1
TH_48_2020	281174929	2020	17-Jun-20	21.9	26.1	53	Fledged	1
TH_137_2020	281174933	2020	22-Jun-20	19.4	25.1	52	Fledged	1
TH_137_2020	281174934	2020	22-Jun-20	21.6	27.2	53	Fledged	1
TH_137_2020	281174935	2020	22-Jun-20	19.3	26.4	58	Fledged	1
4_91_2020	281174936	2020	22-Jun-20	23.8	26.2	59	Fledged	1
4_91_2020	281174937	2020	22-Jun-20	24	26.3	60	Fledged	1
4_91_2020	281174938	2020	22-Jun-20	22.3	25.6	59	Fledged	1
4_91_2020	281174939	2020	22-Jun-20	20.9	25.3	51	Fledged	1
4_91_2020	281174940	2020	22-Jun-20	20.7	24.3	40	Fledged	1
4_16_2020	281174941	2020	22-Jun-20	22.9	26.2	53	Fledged	1
4_16_2020	281174942	2020	22-Jun-20	23.1	26.2	60	Fledged	1
4_16_2020	281174943	2020	22-Jun-20	20.6	26.1	66	Fledged	1
4_16_2020	281174944	2020	22-Jun-20	22.1	26.1	58	Fledged	1
4_16_2020	281174945	2020	22-Jun-20	22.5	26.8	67	Fledged	1
4_16_2020	281174946	2020	22-Jun-20	22.3	26.3	62	Fledged	1
TH_101_2020	281174947	2020	23-Jun-20	23.9	27	57	Fledged	1
TH_101_2020	281174948	2020	23-Jun-20	21.5	25.4	57	Fledged	1
TH_101_2020	281174949	2020	23-Jun-20	22.3	25.5	53	Fledged	1
TH_101_2020	281174950	2020	23-Jun-20	20.3	25.7	49	Fledged	1
TH_56_2020	281174951	2020	23-Jun-20	20.3	26.6	57	Fledged	1
TH_56_2020	281174952	2020	23-Jun-20	22.6	27	61	Fledged	1
TH_56_2020	281174953	2020	23-Jun-20	21	26.5	51	Fledged	1
TH_56_2020	281174954	2020	23-Jun-20	23.1	26.6	54	Fledged	1
TH_56_2020	281174955	2020	23-Jun-20	20.5	26.7	56	Fledged	1
4_105_2020	281174956	2020	24-Jun-20	22.2	25.9	60	Fledged	1
4_105_2020	281174957	2020	24-Jun-20	21.7	26.6	59	Fledged	1
4_105_2020	281174958	2020	24-Jun-20	21	25.5	60	Fledged	1
4_105_2020	281174959	2020	24-Jun-20	20.7	25	51	Fledged	1
4_105_2020	281174960	2020	24-Jun-20	21.2	25.2	53	Fledged	1
TH_32_2020	281174961	2020	25-Jun-20	20.1	25.4	57	Fledged	1
TH_32_2020	281174962	2020	25-Jun-20	18	25.2	46	Fledged	1
TH_32_2020	281174963	2020	25-Jun-20	18.2	25.5	51	Fledged	1
TH_32_2020	281174964	2020	25-Jun-20	20.6	25.2	44	Fledged	1
TH_32_2020	281174965	2020	25-Jun-20	18.5	25.6	51	Fledged	1
4_101_2020	281174966	2020	25-Jun-20	20	26	59	Fledged	1
4_101_2020	281174967	2020	25-Jun-20	20.3	26.5	60	Fledged	1
4_101_2020	281174968	2020	25-Jun-20	19.6	25.2	61	Fledged	1
4_101_2020	281174969	2020	25-Jun-20	22.2	26.5	62	Fledged	1
4_101_2020	281174970	2020	25-Jun-20	21.6	25.2	56	Fledged	1
4_101_2020	281174971	2020	25-Jun-20	19.1	24.8	50	Fledged	1
4_78_2020	281174972	2020	26-Jun-20	19.2	25.4	49	Fledged	1
4_78_2020	281174973	2020	26-Jun-20	20.4	26.4	58	Fledged	1
4_78_2020	281174974	2020	26-Jun-20	19.4	25.6	54	Fledged	1
4_78_2020	281174975	2020	26-Jun-20	20.2	26.7	59	Fledged	1
4_78_2020	281174976	2020	26-Jun-20	20	26.5	58	Fledged	1
4_78_2020	281174977	2020	26-Jun-20	18.4	26.1	59	Fledged	1
TH_123_2020	281174983	2020	28-Jun-20	23.2	26.2	48	Fledged	1
TH_123_2020	281174984	2020	28-Jun-20	21.3	26.6	55	Fledged	1
TH_123_2020	281174985	2020	28-Jun-20	24.3	27.2	66	Fledged	1
TH_123_2020	281174986	2020	28-Jun-20	22.3	26.7	65	Fledged	1
TH_3_2021	281174022	2021	22-Jun-21	20	25.7	56	Fledged	1
TH_3_2021	281174023	2021	22-Jun-21	19.1	25.8	57	Fledged	1
TH_3_2021	281174024	2021	22-Jun-21	20	25.9	58.5	Fledged	1
TH_3_2021	281174025	2021	22-Jun-21	21.5	25.6	61	Fledged	1
TH_3_2021	281174026	2021	22-Jun-21	20	25.7	58	Fledged	1
2_119_2021	281174027	2021	27-Jun-21	22.5	26	61	Fledged	1
2_119_2021	281174028	2021	27-Jun-21	18.2	25.4	59	Fledged	1
2_119_2021	281174029	2021	27-Jun-21	20.7	26.3	56	Fledged	1
2_119_2021	281174030	2021	27-Jun-21	19.1	25.1	55	Fledged	1
4_82_2021	281174031	2021	29-Jun-21	22.1	25.8	47	Fledged	1
4_82_2021	281174032	2021	29-Jun-21	20.8	26.9	46	Fledged	1
4_82_2021	281174033	2021	29-Jun-21	22.1	25.7	44	Fledged	1
4_82_2021	281174034	2021	29-Jun-21	23.5	26.7	51	Fledged	1
TH_11_2021	281174035	2021	03-Jul-21	24.4	25.5	58	Fledged	1
TH_11_2021	281174036	2021	03-Jul-21	25.8	26	59	Fledged	1
TH_11_2021	281174037	2021	03-Jul-21	25.1	25.6	54	Fledged	1
2_29_2021	281174038	2021	04-Jul-21	18.8	25.4	53	Fledged	1
2_29_2021	281174039	2021	04-Jul-21	12.2	23.9	53	Died	0
2_29_2021	281174040	2021	04-Jul-21	20	24.5	50	Fledged	1
2_41_2021	281174041	2021	04-Jul-21	20	25.3	59	Fledged	1
2_41_2021	281174042	2021	04-Jul-21	21.3	25.8	62	Fledged	1
2_41_2021	281174043	2021	04-Jul-21	20.5	25.7	63	Fledged	1
2_41_2021	281174044	2021	04-Jul-21	21.3	24.9	49	Fledged	1
2_41_2021	281174045	2021	04-Jul-21	20	24.5	56	Fledged	1
2_75_2021	281174046	2021	04-Jul-21	20	26.5	58	Fledged	1
2_75_2021	281174047	2021	04-Jul-21	20.4	25.7	50	Fledged	1
2_75_2021	281174048	2021	04-Jul-21	21.5	26.2	61	Fledged	1
2_75_2021	281174049	2021	04-Jul-21	21.2	26.1	65	Fledged	1
2_75_2021	281174050	2021	04-Jul-21	21.4	26.5	63	Fledged	1
1_407_2021	281174467	2021	10-Jun-21	23.7	25.2	44	Fledged	1
1_407_2021	281174468	2021	10-Jun-21	23.9	26.8	46	Fledged	1
1_407_2021	281174469	2021	10-Jun-21	22	25.7	44.5	Fledged	1
1_407_2021	281174470	2021	10-Jun-21	22.9	25.9	48	Fledged	1
1_407_2021	281174471	2021	10-Jun-21	22.6	25.3	49	Fledged	1
1_429_2021	281174474	2021	15-Jun-21	22.2	26.6	59	Fledged	1
1_429_2021	281174475	2021	15-Jun-21	22.1	25.5	54	Fledged	1
1_429_2021	281174476	2021	15-Jun-21	20.8	26.1	58	Fledged	1
1_429_2021	281174477	2021	15-Jun-21	20.3	24.6	56	Fledged	1
1_429_2021	281174478	2021	15-Jun-21	20	26.1	60	Fledged	1
1_429_2021	281174479	2021	15-Jun-21	20.5	25.8	58	Fledged	1
TH_90_2021	281174480	2021	15-Jun-21	20.9	24.9	53	Fledged	1
TH_90_2021	281174481	2021	15-Jun-21	23.3	26.3	60	Fledged	1
TH_90_2021	281174482	2021	15-Jun-21	20.9	25.8	51	Fledged	1
TH_90_2021	281174483	2021	15-Jun-21	18.1	25.1	55	Fledged	1
TH_90_2021	281174484	2021	15-Jun-21	20	26	57	Fledged	1
TH_95_2021	281174494	2021	16-Jun-21	18.2	25.7	55	Died	0
TH_95_2021	281174495	2021	16-Jun-21	21.9	26.1	52	Fledged	1
TH_95_2021	281174496	2021	16-Jun-21	19.1	25.4	58	Fledged	1
TH_95_2021	281174497	2021	16-Jun-21	18.8	26	61	Fledged	1
TH_95_2021	281174498	2021	16-Jun-21	19.1	25.6	51	Fledged	1
TH_95_2021	281174499	2021	16-Jun-21	20	24.9	51	Fledged	1
1_435_2021	281174612	2021	11-Jun-21	23.3	27.1	57	Fledged	1
1_435_2021	281174613	2021	11-Jun-21	21.6	27	55	Fledged	1
1_435_2021	281174614	2021	11-Jun-21	20.8	26.9	52	Fledged	1
1_435_2021	281174615	2021	11-Jun-21	23.2	27.4	56	Fledged	1
1_435_2021	281174616	2021	11-Jun-21	21.8	27	56	Fledged	1
1_435_2021	281174617	2021	11-Jun-21	22.8	26.9	56	Fledged	1
1_431_2021	281174618	2021	11-Jun-21	20.6	25.9	54	Fledged	1
1_431_2021	281174619	2021	11-Jun-21	22.7	27.3	52	Fledged	1
1_431_2021	281174620	2021	11-Jun-21	20.3	26.4	54	Fledged	1
1_431_2021	281174621	2021	11-Jun-21	22.4	26.4	53	Fledged	1
1_366_2021	281174622	2021	11-Jun-21	21.6	26.2	54	Fledged	1
1_366_2021	281174623	2021	11-Jun-21	20.6	26.1	59	Fledged	1
1_366_2021	281174624	2021	11-Jun-21	21.3	26.3	52	Fledged	1
1_366_2021	281174625	2021	11-Jun-21	22.2	25.8	57	Fledged	1
1_366_2021	281174626	2021	11-Jun-21	22	26.5	53	Fledged	1
1_366_2021	281174627	2021	11-Jun-21	19.4	25.9	51	Fledged	1
1_318_2021	281174628	2021	13-Jun-21	21.6	26.3	46	Fledged	1
1_318_2021	281174629	2021	13-Jun-21	24.1	25.1	55	Fledged	1
1_318_2021	281174630	2021	13-Jun-21	22.6	27.2	56	Fledged	1
1_318_2021	281174631	2021	13-Jun-21	22	27.1	50	Fledged	1
1_318_2021	281174632	2021	13-Jun-21	20.9	24.2	50.5	Fledged	1
1_319_2021	281174633	2021	13-Jun-21	23.4	27.8	55.5	Fledged	1
1_319_2021	281174634	2021	13-Jun-21	21	26.4	58.5	Fledged	1
1_319_2021	281174635	2021	13-Jun-21	21.5	25.3	57.5	Fledged	1
1_319_2021	281174636	2021	13-Jun-21	21.1	25.7	57	Fledged	1
1_319_2021	281174637	2021	13-Jun-21	24.6	25.3	56	Fledged	1
1_434_2021	281174638	2021	13-Jun-21	21.6	24.2	56.5	Fledged	1
1_434_2021	281174639	2021	13-Jun-21	22.4	26	57	Fledged	1
1_434_2021	281174640	2021	13-Jun-21	21.3	26.2	51.5	Fledged	1
1_434_2021	281174641	2021	13-Jun-21	21.5	26.2	54	Fledged	1
1_434_2021	281174642	2021	13-Jun-21	22.7	24.7	53	Fledged	1
1_358_2021	281174643	2021	13-Jun-21	21.6	25.6	59	Fledged	1
1_358_2021	281174644	2021	13-Jun-21	24.4	26.6	59	Fledged	1
1_358_2021	281174645	2021	13-Jun-21	23.3	26.8	56	Fledged	1
1_358_2021	281174646	2021	13-Jun-21	22.6	27.3	57	Fledged	1
1_358_2021	281174647	2021	13-Jun-21	21.7	26.8	60	Fledged	1
1_358_2021	281174648	2021	13-Jun-21	21.7	25.7	58	Fledged	1
1_339_2021	281174653	2021	14-Jun-21	20.3	26.2	45	Fledged	1
1_339_2021	281174654	2021	14-Jun-21	21.5	26.5	54	Fledged	1
1_339_2021	281174655	2021	14-Jun-21	21	26	53	Fledged	1
1_339_2021	281174656	2021	14-Jun-21	22.5	27.6	56	Fledged	1
1_376_2021	281174657	2021	14-Jun-21	22.5	27	58	Fledged	1
1_376_2021	281174658	2021	14-Jun-21	22.3	26.6	58	Fledged	1
1_376_2021	281174659	2021	14-Jun-21	20	25.8	56	Fledged	1
1_376_2021	281174660	2021	14-Jun-21	20.9	26.7	54	Fledged	1
1_376_2021	281174661	2021	14-Jun-21	22.7	26.4	57	Fledged	1
1_381_2021	281174662	2021	14-Jun-21	22.9	27.3	65	Fledged	1
1_381_2021	281174663	2021	14-Jun-21	21.7	26.7	61	Fledged	1
1_381_2021	281174664	2021	14-Jun-21	23.2	27.7	55	Fledged	1
1_381_2021	281174665	2021	14-Jun-21	22.2	27	60	Fledged	1
1_381_2021	281174666	2021	14-Jun-21	22.2	28.2	59	Fledged	1
1_381_2021	281174667	2021	14-Jun-21	23.4	27.3	59	Fledged	1
1_339_2021	281174676	2021	14-Jun-21	23	26.7	55	Fledged	1
1_303_2021	281174720	2021	09-Jun-21	22.1	25.8	48	Fledged	1
1_303_2021	281174721	2021	09-Jun-21	20.3	25.1	46	Died	0
1_303_2021	281174722	2021	09-Jun-21	21.4	25.3	39	Fledged	1
1_303_2021	281174723	2021	09-Jun-21	19.4	25.2	59	Fledged	1
1_303_2021	281174724	2021	09-Jun-21	20	26.1	64	Fledged	1
1_303_2021	281174725	2021	09-Jun-21	18.3	24.2	53	Fledged	1
1_334_2021	281174726	2021	09-Jun-21	20	24.5	57	Fledged	1
1_334_2021	281174727	2021	09-Jun-21	20	25.2	46	Fledged	1
1_334_2021	281174728	2021	09-Jun-21	21.1	25.7	52	Fledged	1
1_334_2021	281174729	2021	09-Jun-21	21.5	24.8	51	Fledged	1
TH_101_2021	281174730	2021	09-Jun-21	24.5	25.2	46	Fledged	1
TH_101_2021	281174731	2021	09-Jun-21	19.3	23.2	44	Fledged	1
TH_101_2021	281174733	2021	09-Jun-21	21.9	24.9	46	Fledged	1
TH_101_2021	281174734	2021	09-Jun-21	20.9	24.1	47	Fledged	1
TH_101_2021	281174735	2021	09-Jun-21	21.2	24.9	49	Fledged	1
1_312_2021	281174741	2021	11-Jun-21	21.9	26.1	50.5	Fledged	1
1_312_2021	281174742	2021	11-Jun-21	24.5	26.3	48.5	Fledged	1
1_312_2021	281174743	2021	11-Jun-21	24	26.1	52	Fledged	1
1_312_2021	281174744	2021	11-Jun-21	24.2	26.9	53.5	Fledged	1
TH_110_2021	281174794	2021	16-Jun-21	20.9	26	61	Fledged	1
TH_110_2021	281174795	2021	16-Jun-21	18.2	24.8	50	Fledged	1
TH_110_2021	281174796	2021	16-Jun-21	17.1	23.3	45	Died	0
TH_110_2021	281174797	2021	16-Jun-21	21.1	26	60	Fledged	1
TH_110_2021	281174798	2021	16-Jun-21	18.3	25.7	58	Fledged	1
TH_114_2021	281174799	2021	16-Jun-21	21.3	26.4	52	Fledged	1
TH_114_2021	281174800	2021	16-Jun-21	23.9	26.6	58	Fledged	1
TH_19_2021	281174811	2021	21-Jun-21	24.4	27.1	63	Fledged	1
TH_19_2021	281174812	2021	21-Jun-21	23.5	26.8	54	Fledged	1
TH_19_2021	281174813	2021	21-Jun-21	22.9	26.3	59	Fledged	1
TH_19_2021	281174814	2021	21-Jun-21	22.9	26.9	60	Fledged	1
TH_19_2021	281174815	2021	21-Jun-21	22.2	26	56	Fledged	1
1_35_2021	281174823	2021	11-Jul-21	21.2	27.6	81	Fledged	1
1_35_2021	281174824	2021	11-Jul-21	22.6	27.8	79	Fledged	1
1_35_2021	281174825	2021	11-Jul-21	20	26.8	83	Fledged	1
1_35_2021	281174826	2021	11-Jul-21	23.25	27.8	99	Fledged	1
1_329_2021	288134944	2021	18-Jun-21	17.9	24.1	46	Fledged	1
1_329_2021	288134945	2021	18-Jun-21	16.5	24.1	44	Fledged	1
1_329_2021	288134946	2021	18-Jun-21	14.4	24.2	46	Fledged	1
1_329_2021	288134947	2021	18-Jun-21	17.1	25.2	52	Fledged	1
1_329_2021	288134948	2021	18-Jun-21	18.4	24.2	50	Fledged	1
1_348_2021	288134949	2021	18-Jun-21	25.1	19.6	52	Fledged	1
1_348_2021	288134950	2021	18-Jun-21	18.5	24.5	53	Fledged	1
1_348_2021	288134951	2021	18-Jun-21	16.9	23.6	34	Fledged	1
1_348_2021	288134952	2021	18-Jun-21	22.2	25.5	58	Fledged	1
1_348_2021	288134953	2021	18-Jun-21	18.5	24.3	53	Fledged	1
TH_97_2021	288134959	2021	19-Jun-21	21.1	25.6	60	Fledged	1
TH_97_2021	288134960	2021	19-Jun-21	20	25.7	45	Fledged	1
TH_97_2021	288134961	2021	19-Jun-21	22.8	26.1	53	Fledged	1
TH_97_2021	288134962	2021	19-Jun-21	20.8	25.6	56	Fledged	1
TH_97_2021	288134963	2021	19-Jun-21	18.8	26.4	59	Fledged	1
TH_39_2021	288134970	2021	20-Jun-21	20.8	26.4	59	Fledged	1
TH_39_2021	288134971	2021	20-Jun-21	24	26.4	58	Fledged	1
TH_39_2021	288134972	2021	20-Jun-21	22.9	26.6	58	Fledged	1
TH_39_2021	288134973	2021	20-Jun-21	21.7	26.5	54	Fledged	1
TH_39_2021	288134974	2021	20-Jun-21	23	26.4	57	Fledged	1
1_329_2021	288134994	2021	18-Jun-21	20	24.9	56	Fledged	1
1_437_2021	288135012	2021	17-Jun-21	15	23.5	33	Died	0
1_437_2021	288135013	2021	17-Jun-21	14.2	23.7	35	Died	0
1_437_2021	288135014	2021	17-Jun-21	12.6	23.2	34	Fledged	1
1_371_2021	288135015	2021	17-Jun-21	20.4	25.7	54	Fledged	1
1_371_2021	288135016	2021	17-Jun-21	18	26	58	Fledged	1
1_371_2021	288135017	2021	17-Jun-21	14	23.3	37	Fledged	1
1_371_2021	288135018	2021	17-Jun-21	20.3	26.8	53	Fledged	1
1_371_2021	288135019	2021	17-Jun-21	20.4	25.8	48	Fledged	1
1_430_2021	288135020	2021	17-Jun-21	18.3	25.5	56	Fledged	1
1_430_2021	288135021	2021	17-Jun-21	18.4	26	58	Died	0
1_430_2021	288135022	2021	17-Jun-21	19	25.1	54	Fledged	1
1_430_2021	288135023	2021	17-Jun-21	18	26.4	55	Died	0
1_430_2021	288135024	2021	17-Jun-21	15	24.8	49	Died	0
4_103_2021	288135032	2021	21-Jun-21	21.1	25.3	44	Fledged	1
4_103_2021	288135033	2021	21-Jun-21	22.4	25.6	49	Fledged	1
4_103_2021	288135034	2021	21-Jun-21	24.3	25.3	52	Fledged	1
4_103_2021	288135035	2021	21-Jun-21	20.7	24.7	50	Fledged	1
4_106_2021	288135036	2021	21-Jun-21	18.1	24.7	42	Fledged	1
4_106_2021	288135037	2021	21-Jun-21	22	25.8	55	Fledged	1
4_106_2021	288135038	2021	21-Jun-21	21.8	27	51	Fledged	1
4_106_2021	288135039	2021	21-Jun-21	24.2	26.2	51	Fledged	1
4_106_2021	288135040	2021	21-Jun-21	23.2	26.5	51	Fledged	1
4_106_2021	288135041	2021	21-Jun-21	22.2	26.5	55.5	Fledged	1
4_64_2021	288135043	2021	22-Jun-21	16.6	24.7	37	Fledged	1
4_64_2021	288135044	2021	22-Jun-21	13.2	23.2	29	Died	0
4_64_2021	288135045	2021	22-Jun-21	19	25.1	37	Fledged	1
4_64_2021	288135046	2021	22-Jun-21	14.9	24.4	35	Died	0
4_64_2021	288135047	2021	22-Jun-21	13.3	23.5	27	Died	0
4_64_2021	288135048	2021	22-Jun-21	15.2	24.7	34	Fledged	1
TH_20_2021	288135049	2021	22-Jun-21	9.6	23.3	32	Fledged	1
TH_20_2021	288135050	2021	22-Jun-21	14.2	25.5	40	Fledged	1
TH_20_2021	288135051	2021	22-Jun-21	18.1	25.5	42	Fledged	1
TH_20_2021	288135052	2021	22-Jun-21	15.6	24.5	40	Fledged	1
TH_20_2021	288135053	2021	22-Jun-21	14	23.3	37	Fledged	1
2_1_2021	288135054	2021	03-Jul-21	20.8	24.2	48	Fledged	1
2_1_2021	288135055	2021	03-Jul-21	21.1	23.6	47	Fledged	1
2_1_2021	288135056	2021	03-Jul-21	21.3	25	41	Fledged	1
TH_53_2021	288135057	2021	04-Jul-21	21	25.2	49	Fledged	1
TH_53_2021	288135058	2021	04-Jul-21	23.2	26.3	53	Fledged	1
TH_53_2021	288135059	2021	04-Jul-21	23.1	26.5	60.5	Fledged	1
TH_53_2021	288135060	2021	04-Jul-21	23.6	26.1	61	Fledged	1
1_301_2021	288135061	2021	04-Jul-21	16.3	24.4	35	Died	0
1_301_2021	288135062	2021	04-Jul-21	12.9	23.3	30	Died	0
TH_103_2021	288135324	2021	14-Jun-21	23	26.9	65	Fledged	1
TH_103_2021	288135325	2021	14-Jun-21	25.9	27.5	69	Fledged	1
TH_103_2021	288135326	2021	14-Jun-21	24.3	27.3	66	Fledged	1
TH_103_2021	288135327	2021	14-Jun-21	22.6	27.4	62	Fledged	1
TH_103_2021	288135328	2021	14-Jun-21	21.1	26.3	55	Fledged	1
TH_103_2021	288135329	2021	14-Jun-21	25.4	27.2	61	Fledged	1
TH_138_2021	272108108	2021	16-Jun-21	23.3	26	50	Fledged	1
TH_138_2021	272108109	2021	16-Jun-21	21.4	25.6	56	Fledged	1
TH_116_2021	272108110	2021	16-Jun-21	22.5	26.5	60	Fledged	1
TH_116_2021	272108111	2021	16-Jun-21	20	24.9	47	Fledged	1
TH_116_2021	272108112	2021	16-Jun-21	20.3	26.2	57	Fledged	1
TH_116_2021	272108113	2021	16-Jun-21	19.4	26.4	62	Fledged	1
TH_116_2021	272108114	2021	16-Jun-21	23	27	56	Fledged	1
TH_116_2021	272108115	2021	16-Jun-21	17.4	25.8	57	Fledged	1
TH_122_2021	272108116	2021	16-Jun-21	23.1	27	61	Fledged	1
TH_122_2021	272108117	2021	16-Jun-21	21.7	26.9	61.5	Fledged	1
TH_122_2021	272108118	2021	16-Jun-21	19.6	25.1	49	Fledged	1
TH_122_2021	272108119	2021	16-Jun-21	19.6	25.9	58	Fledged	1
TH_122_2021	272108120	2021	16-Jun-21	20.3	26.6	56	Fledged	1
TH_122_2021	272108121	2021	16-Jun-21	22.1	25.9	57	Fledged	1
TH_51_2021	272108122	2021	16-Jun-21	20.9	26.3	55	Fledged	1
TH_51_2021	272108123	2021	16-Jun-21	19.6	25.3	50	Fledged	1
TH_51_2021	272108124	2021	16-Jun-21	21.2	25.7	57	Fledged	1
TH_51_2021	272108125	2021	16-Jun-21	19	25.7	51	Fledged	1
TH_51_2021	272108126	2021	16-Jun-21	19.4	25.3	54	Fledged	1
TH_23_2021	272108127	2021	16-Jun-21	19.1	26.3	53.5	Fledged	1
TH_23_2021	272108128	2021	16-Jun-21	20.9	26.5	58.5	Fledged	1
TH_23_2021	272108129	2021	16-Jun-21	18.1	25.8	54	Fledged	1
TH_23_2021	272108130	2021	16-Jun-21	21.5	25	47	Fledged	1
TH_23_2021	272108131	2021	16-Jun-21	20.7	26.3	60	Fledged	1
1_346_2021	272108136	2021	16-Jun-21	20	25.8	58	Fledged	1
1_346_2021	272108137	2021	16-Jun-21	21.3	26.4	58.5	Fledged	1
1_346_2021	272108138	2021	16-Jun-21	21.2	25.2	59	Fledged	1
1_346_2021	272108139	2021	16-Jun-21	19.2	25.1	60	Fledged	1
1_346_2021	272108140	2021	16-Jun-21	22.7	26.5	61	Fledged	1
1_364_2021	272108141	2021	16-Jun-21	18.8	25.7	55.5	Fledged	1
1_364_2021	272108142	2021	16-Jun-21	18.7	26.2	56	Fledged	1
1_364_2021	272108143	2021	16-Jun-21	19.4	25.1	52	Fledged	1
1_364_2021	272108144	2021	16-Jun-21	19.4	25.9	59	Fledged	1
1_364_2021	272108145	2021	16-Jun-21	16.5	24.9	46	Died	0
1_364_2021	272108146	2021	16-Jun-21	20.5	26.2	63	Fledged	1
1_410_2021	272108152	2021	17-Jun-21	20	25.1	56.5	Fledged	1
1_410_2021	272108153	2021	17-Jun-21	19.6	26	60	Fledged	1
1_410_2021	272108154	2021	17-Jun-21	20	24.1	55	Fledged	1
1_410_2021	272108155	2021	17-Jun-21	20.7	25.5	50	Fledged	1
1_327_2021	272108156	2021	17-Jun-21	21.6	26.6	54.5	Fledged	1
1_327_2021	272108157	2021	17-Jun-21	20	25	51	Fledged	1
1_327_2021	272108158	2021	17-Jun-21	19.1	27	52	Fledged	1
1_327_2021	272108159	2021	17-Jun-21	22.5	25.8	49	Fledged	1
1_327_2021	272108160	2021	17-Jun-21	20	25.5	41	Fledged	1
4_70_2021	272108161	2021	18-Jun-21	21.1	25	50	Fledged	1
1_391_2021	272108164	2021	19-Jun-21	22.7	26.3	54.5	Fledged	1
1_391_2021	272108165	2021	19-Jun-21	23.7	27	47.5	Fledged	1
1_340_2021	272108166	2021	19-Jun-21	11.2	22.9	32.5	Fledged	1
1_340_2021	272108167	2021	19-Jun-21	17.2	24.9	45.5	Died	0
1_340_2021	272108168	2021	19-Jun-21	16.2	25.1	41.5	Died	0
1_340_2021	272108169	2021	19-Jun-21	19	25	40	Died	0
1_340_2021	272108170	2021	19-Jun-21	16.1	25.1	41	Died	0
1_340_2021	272108171	2021	19-Jun-21	11.4	22.7	32	Died	0
1_353_2021	272108172	2021	19-Jun-21	22.4	25.4	53	Fledged	1
1_353_2021	272108173	2021	19-Jun-21	23	26.5	61	Fledged	1
1_353_2021	272108174	2021	19-Jun-21	24.4	27.2	63	Fledged	1
1_353_2021	272108175	2021	19-Jun-21	19	25.4	60	Fledged	1
1_353_2021	272108176	2021	19-Jun-21	22.7	26.4	62	Fledged	1
1_428_2021	272108177	2021	19-Jun-21	7.7	21.8	26	Died	0
1_428_2021	272108178	2021	19-Jun-21	12.3	22.6	30	Died	0
1_428_2021	272108179	2021	19-Jun-21	13.3	23.8	43	Died	0
1_428_2021	272108180	2021	19-Jun-21	15.2	24.6	46	Died	0
1_428_2021	272108181	2021	19-Jun-21	17.9	24.5	46	Died	0
